EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Estrich;;
Untertitel;Heizestrich;;
;Zement Heizestrich CT-C25-F4, s=65-70 mm mit mindestens 45 mm Rohrüberdeckung, gemäß der DIN 18560 Teil 1+2 und der DIN EN 13813, einschichtig Herstellen und mit der Ebenheit nach DIN 18202 Tabelle 3 Zeile 3, liefern und einbauen;;
;;;
H54NO0500 01;Flächen von 10 bis 69 m²;€ pauschal;2691
H54NO0505 01;Flächen von 70 bis 109 m²;€ pauschal;2808
H54NO0510 01;Flächen von 110 bis 119 m²;€/m²;27,1
H54NO0515 01;Flächen von 120 bis 129 m²;€/m²;26
H54NO0520 01;Flächen von 130 bis 139 m²;€/m²;24,9
H54NO0525 01;Flächen von 140 bis 149 m²;€/m²;23,8
100BIE023;Flächen ab 150 m²;€/m²;23,5
;;;
Untertitel;Zulagen Zusatzmittel:;;
H54NO0555 01;Einbringung Polyprophylenfasern;€/m²;2,5
H54NO0560 01;Zulage Schnellbinder 18-20 Tage;€/m²;5,8
H54NO0565 01;Zulage Schnellbinder 10-14 Tage;€/m²;7,4
H54NO0570 01;Zulage Schnellbinder 5- 7 Tage;€/m²;9,7
H54NO0575 01;Retanol XTREME 3 - 7 Tage;€/m²;15
